step,total,heisenberg,dmi,anisotropy
0,-4.0,-4.0,-0.0,0.0
1,-4.0,-4.0,-0.0,0.0
2,-4.000000476837158,-4.000000476837158,-0.0,0.0
3,-4.0,-4.0,-0.0,0.0
4,-3.999999523162842,-3.999999523162842,-0.0,0.0
5,-3.999999523162842,-3.999999523162842,-0.0,0.0
6,-4.0,-4.0,-0.0,0.0
7,-4.000000476837158,-4.000000476837158,-0.0,0.0
8,-4.0,-4.0,-0.0,0.0
9,-4.0,-4.0,-0.0,0.0
10,-4.0,-4.0,-0.0,0.0
11,-3.999999523162842,-3.999999523162842,-0.0,0.0
12,-3.999999761581421,-3.999999761581421,-0.0,0.0
13,-4.0,-4.0,-0.0,0.0
14,-3.999999761581421,-3.999999761581421,-0.0,0.0
15,-3.999999761581421,-3.999999761581421,-0.0,0.0
16,-3.999999761581421,-3.999999761581421,-0.0,0.0
17,-4.0,-4.0,-0.0,0.0
18,-3.999999761581421,-3.999999761581421,-0.0,0.0
19,-4.000000476837158,-4.000000476837158,-0.0,0.0
20,-4.000000476837158,-4.000000476837158,-0.0,0.0
21,-3.999999523162842,-3.999999523162842,-0.0,0.0
22,-4.0,-4.0,-0.0,0.0
23,-4.0,-4.0,-0.0,0.0
24,-3.9999992847442627,-3.9999992847442627,-0.0,0.0
25,-3.999999761581421,-3.999999761581421,-0.0,0.0
26,-4.0,-4.0,-0.0,0.0
27,-3.999999523162842,-3.999999523162842,-0.0,0.0
28,-3.999999523162842,-3.999999523162842,-0.0,0.0
29,-3.999999523162842,-3.999999523162842,-0.0,0.0
30,-4.0,-4.0,-0.0,0.0
31,-3.9999992847442627,-3.9999992847442627,-0.0,0.0
32,-3.999999523162842,-3.999999523162842,-0.0,0.0
33,-4.0,-4.0,-0.0,0.0
34,-4.0,-4.0,-0.0,0.0
35,-3.999999761581421,-3.999999761581421,-0.0,0.0
36,-4.000000953674316,-4.000000953674316,-0.0,0.0
37,-3.999999523162842,-3.999999523162842,-0.0,0.0
38,-4.0,-4.0,-0.0,0.0
39,-3.999999523162842,-3.999999523162842,-0.0,0.0
40,-4.0,-4.0,-0.0,0.0
41,-4.000000476837158,-4.000000476837158,-0.0,0.0
42,-4.0,-4.0,-0.0,0.0
43,-3.999999523162842,-3.999999523162842,-0.0,0.0
44,-4.0,-4.0,-0.0,0.0
45,-3.999999523162842,-3.999999523162842,-0.0,0.0
46,-3.999999523162842,-3.999999523162842,-0.0,0.0
47,-4.0,-4.0,-0.0,0.0
48,-4.000000476837158,-4.000000476837158,-0.0,0.0
49,-3.999999523162842,-3.999999523162842,-0.0,0.0
50,-4.0,-4.0,-0.0,0.0
51,-4.0,-4.0,-0.0,0.0
52,-3.999999523162842,-3.999999523162842,-0.0,0.0
53,-4.000000476837158,-4.000000476837158,-0.0,0.0
54,-4.000000476837158,-4.000000476837158,-0.0,0.0
55,-3.999999523162842,-3.999999523162842,-0.0,0.0
56,-4.000000476837158,-4.000000476837158,-0.0,0.0
57,-4.0,-4.0,-0.0,0.0
58,-3.999999761581421,-3.999999761581421,-0.0,0.0
59,-3.999999523162842,-3.999999523162842,-0.0,0.0
60,-3.999999761581421,-3.999999761581421,-0.0,0.0
61,-4.0,-4.0,-0.0,0.0
62,-4.0,-4.0,-0.0,0.0
63,-4.0,-4.0,-0.0,0.0
64,-3.999999523162842,-3.999999523162842,-0.0,0.0
65,-4.0,-4.0,-0.0,0.0
66,-3.999999523162842,-3.999999523162842,-0.0,0.0
67,-3.999999523162842,-3.999999523162842,-0.0,0.0
68,-4.0,-4.0,-0.0,0.0
69,-4.0,-4.0,-0.0,0.0
70,-4.000000476837158,-4.000000476837158,-0.0,0.0
71,-4.0,-4.0,-0.0,0.0
72,-4.000000476837158,-4.000000476837158,-0.0,0.0
73,-4.0,-4.0,-0.0,0.0
74,-4.0,-4.0,-0.0,0.0
75,-4.0,-4.0,-0.0,0.0
76,-4.000000476837158,-4.000000476837158,-0.0,0.0
77,-4.0,-4.0,-0.0,0.0
78,-4.0,-4.0,-0.0,0.0
79,-4.0,-4.0,-0.0,0.0
80,-4.000000476837158,-4.000000476837158,-0.0,0.0
81,-4.0,-4.0,-0.0,0.0
82,-3.999999523162842,-3.999999523162842,-0.0,0.0
83,-3.999999523162842,-3.999999523162842,-0.0,0.0
84,-4.0,-4.0,-0.0,0.0
85,-4.0,-4.0,-0.0,0.0
86,-4.0,-4.0,-0.0,0.0
87,-4.0,-4.0,-0.0,0.0
88,-4.0,-4.0,-0.0,0.0
89,-4.000000476837158,-4.000000476837158,-0.0,0.0
90,-4.000000476837158,-4.000000476837158,-0.0,0.0
91,-3.999999523162842,-3.999999523162842,-0.0,0.0
92,-4.0,-4.0,-0.0,0.0
93,-3.999999761581421,-3.999999761581421,-0.0,0.0
94,-3.999999523162842,-3.999999523162842,-0.0,0.0
95,-3.999999523162842,-3.999999523162842,-0.0,0.0
96,-3.999999761581421,-3.999999761581421,-0.0,0.0
97,-4.0,-4.0,-0.0,0.0
98,-4.0,-4.0,-0.0,0.0
99,-3.999999523162842,-3.999999523162842,-0.0,0.0
100,-3.999999761581421,-3.999999761581421,-0.0,0.0
101,-3.999999761581421,-3.999999761581421,-0.0,0.0
102,-4.000000476837158,-4.000000476837158,-0.0,0.0
103,-4.000000476837158,-4.000000476837158,-0.0,0.0
104,-4.000000476837158,-4.000000476837158,-0.0,0.0
105,-4.0,-4.0,-0.0,0.0
106,-3.999999761581421,-3.999999761581421,-0.0,0.0
107,-4.000000476837158,-4.000000476837158,-0.0,0.0
108,-4.0,-4.0,-0.0,0.0
109,-3.999999761581421,-3.999999761581421,-0.0,0.0
110,-4.0,-4.0,-0.0,0.0
111,-4.0,-4.0,-0.0,0.0
112,-4.0,-4.0,-0.0,0.0
113,-4.000000476837158,-4.000000476837158,-0.0,0.0
114,-4.000000476837158,-4.000000476837158,-0.0,0.0
115,-4.0,-4.0,-0.0,0.0
116,-3.999999761581421,-3.999999761581421,-0.0,0.0
117,-4.0,-4.0,-0.0,0.0
118,-4.000000476837158,-4.000000476837158,-0.0,0.0
119,-4.000000476837158,-4.000000476837158,-0.0,0.0
120,-4.0,-4.0,-0.0,0.0
121,-4.0,-4.0,-0.0,0.0
122,-4.000000476837158,-4.000000476837158,-0.0,0.0
123,-3.999999761581421,-3.999999761581421,-0.0,0.0
124,-4.0,-4.0,-0.0,0.0
125,-4.000000476837158,-4.000000476837158,-0.0,0.0
126,-4.000000476837158,-4.000000476837158,-0.0,0.0
127,-4.0,-4.0,-0.0,0.0
128,-4.0,-4.0,-0.0,0.0
129,-3.999999761581421,-3.999999761581421,-0.0,0.0
130,-4.0,-4.0,-0.0,0.0
131,-4.0,-4.0,-0.0,0.0
132,-4.0,-4.0,-0.0,0.0
133,-3.999999761581421,-3.999999761581421,-0.0,0.0
134,-4.000000476837158,-4.000000476837158,-0.0,0.0
135,-4.0,-4.0,-0.0,0.0
136,-4.0,-4.0,-0.0,0.0
137,-4.000000476837158,-4.000000476837158,-0.0,0.0
138,-4.0,-4.0,-0.0,0.0
139,-3.999999761581421,-3.999999761581421,-0.0,0.0
140,-4.0,-4.0,-0.0,0.0
141,-4.0,-4.0,-0.0,0.0
142,-4.0,-4.0,-0.0,0.0
143,-4.0,-4.0,-0.0,0.0
144,-4.0,-4.0,-0.0,0.0
145,-4.0,-4.0,-0.0,0.0
146,-4.0,-4.0,-0.0,0.0
147,-4.000000476837158,-4.000000476837158,-0.0,0.0
148,-4.000000476837158,-4.000000476837158,-0.0,0.0
149,-3.999999761581421,-3.999999761581421,-0.0,0.0
150,-3.999999523162842,-3.999999523162842,-0.0,0.0
151,-4.0,-4.0,-0.0,0.0
152,-3.999999523162842,-3.999999523162842,-0.0,0.0
153,-3.999999761581421,-3.999999761581421,-0.0,0.0
154,-4.0,-4.0,-0.0,0.0
155,-3.999999523162842,-3.999999523162842,-0.0,0.0
156,-4.0,-4.0,-0.0,0.0
157,-3.999999523162842,-3.999999523162842,-0.0,0.0
158,-4.000000476837158,-4.000000476837158,-0.0,0.0
159,-4.0,-4.0,-0.0,0.0
160,-4.0,-4.0,-0.0,0.0
161,-3.999999761581421,-3.999999761581421,-0.0,0.0
162,-3.999999523162842,-3.999999523162842,-0.0,0.0
163,-3.999999523162842,-3.999999523162842,-0.0,0.0
164,-4.0,-4.0,-0.0,0.0
165,-4.000000476837158,-4.000000476837158,-0.0,0.0
166,-4.000000476837158,-4.000000476837158,-0.0,0.0
167,-4.0,-4.0,-0.0,0.0
168,-3.999999523162842,-3.999999523162842,-0.0,0.0
169,-3.999999523162842,-3.999999523162842,-0.0,0.0
170,-4.0,-4.0,-0.0,0.0
171,-4.000000476837158,-4.000000476837158,-0.0,0.0
172,-3.9999992847442627,-3.9999992847442627,-0.0,0.0
173,-4.000000953674316,-4.000000953674316,-0.0,0.0
174,-4.000000476837158,-4.000000476837158,-0.0,0.0
175,-4.0,-4.0,-0.0,0.0
176,-4.0,-4.0,-0.0,0.0
177,-3.999999523162842,-3.999999523162842,-0.0,0.0
178,-4.0,-4.0,-0.0,0.0
179,-4.000000476837158,-4.000000476837158,-0.0,0.0
180,-3.999999523162842,-3.999999523162842,-0.0,0.0
181,-3.999999523162842,-3.999999523162842,-0.0,0.0
182,-4.000000476837158,-4.000000476837158,-0.0,0.0
183,-3.999999761581421,-3.999999761581421,-0.0,0.0
184,-3.9999992847442627,-3.9999992847442627,-0.0,0.0
185,-4.0,-4.0,-0.0,0.0
186,-4.0,-4.0,-0.0,0.0
187,-4.0,-4.0,-0.0,0.0
188,-4.000000476837158,-4.000000476837158,-0.0,0.0
189,-3.999999523162842,-3.999999523162842,-0.0,0.0
190,-3.999999761581421,-3.999999761581421,-0.0,0.0
191,-4.0,-4.0,-0.0,0.0
192,-4.0,-4.0,-0.0,0.0
193,-4.0,-4.0,-0.0,0.0
194,-4.0,-4.0,-0.0,0.0
195,-4.0,-4.0,-0.0,0.0
196,-4.000000476837158,-4.000000476837158,-0.0,0.0
197,-4.0,-4.0,-0.0,0.0
198,-3.999999761581421,-3.999999761581421,-0.0,0.0
199,-4.000000476837158,-4.000000476837158,-0.0,0.0
200,-4.000000476837158,-4.000000476837158,-0.0,0.0
201,-3.999999761581421,-3.999999761581421,-0.0,0.0
202,-3.999999523162842,-3.999999523162842,-0.0,0.0
203,-3.999999523162842,-3.999999523162842,-0.0,0.0
204,-4.000000476837158,-4.000000476837158,-0.0,0.0
205,-4.0,-4.0,-0.0,0.0
206,-3.999999761581421,-3.999999761581421,-0.0,0.0
207,-3.999999523162842,-3.999999523162842,-0.0,0.0
208,-4.0,-4.0,-0.0,0.0
209,-4.0,-4.0,-0.0,0.0
210,-4.0,-4.0,-0.0,0.0
211,-4.000000476837158,-4.000000476837158,-0.0,0.0
212,-3.999999523162842,-3.999999523162842,-0.0,0.0
213,-3.999999761581421,-3.999999761581421,-0.0,0.0
214,-4.000000953674316,-4.000000953674316,-0.0,0.0
215,-4.0,-4.0,-0.0,0.0
216,-3.999999761581421,-3.999999761581421,-0.0,0.0
217,-4.0,-4.0,-0.0,0.0
218,-4.0,-4.0,-0.0,0.0
219,-4.000000476837158,-4.000000476837158,-0.0,0.0
220,-4.000000476837158,-4.000000476837158,-0.0,0.0
221,-4.0,-4.0,-0.0,0.0
222,-3.999999523162842,-3.999999523162842,-0.0,0.0
223,-4.0,-4.0,-0.0,0.0
224,-4.0,-4.0,-0.0,0.0
225,-4.0,-4.0,-0.0,0.0
226,-4.000000476837158,-4.000000476837158,-0.0,0.0
227,-4.0,-4.0,-0.0,0.0
228,-4.0,-4.0,-0.0,0.0
229,-4.000000476837158,-4.000000476837158,-0.0,0.0
230,-3.999999761581421,-3.999999761581421,-0.0,0.0
231,-4.0,-4.0,-0.0,0.0
232,-4.0,-4.0,-0.0,0.0
233,-3.999999761581421,-3.999999761581421,-0.0,0.0
234,-4.0,-4.0,-0.0,0.0
235,-3.999999523162842,-3.999999523162842,-0.0,0.0
236,-4.0,-4.0,-0.0,0.0
237,-3.999999523162842,-3.999999523162842,-0.0,0.0
238,-3.999999761581421,-3.999999761581421,-0.0,0.0
239,-4.0,-4.0,-0.0,0.0
240,-4.0,-4.0,-0.0,0.0
241,-4.0,-4.0,-0.0,0.0
242,-3.999999761581421,-3.999999761581421,-0.0,0.0
243,-4.0,-4.0,-0.0,0.0
244,-4.0,-4.0,-0.0,0.0
245,-3.999999761581421,-3.999999761581421,-0.0,0.0
246,-4.0,-4.0,-0.0,0.0
247,-4.0,-4.0,-0.0,0.0
248,-4.0,-4.0,-0.0,0.0
249,-4.0,-4.0,-0.0,0.0
250,-4.000000476837158,-4.000000476837158,-0.0,0.0
251,-3.999999761581421,-3.999999761581421,-0.0,0.0
252,-4.0,-4.0,-0.0,0.0
253,-4.0,-4.0,-0.0,0.0
254,-4.0,-4.0,-0.0,0.0
255,-4.0,-4.0,-0.0,0.0
256,-4.0,-4.0,-0.0,0.0
257,-4.0,-4.0,-0.0,0.0
258,-4.000000476837158,-4.000000476837158,-0.0,0.0
259,-4.000000476837158,-4.000000476837158,-0.0,0.0
260,-3.999999761581421,-3.999999761581421,-0.0,0.0
261,-3.999999761581421,-3.999999761581421,-0.0,0.0
262,-4.0,-4.0,-0.0,0.0
263,-4.000000476837158,-4.000000476837158,-0.0,0.0
264,-4.0,-4.0,-0.0,0.0
265,-4.000000476837158,-4.000000476837158,-0.0,0.0
266,-4.0,-4.0,-0.0,0.0
267,-4.0,-4.0,-0.0,0.0
268,-3.999999761581421,-3.999999761581421,-0.0,0.0
269,-4.0,-4.0,-0.0,0.0
270,-3.999999761581421,-3.999999761581421,-0.0,0.0
271,-4.000000476837158,-4.000000476837158,-0.0,0.0
272,-3.999999761581421,-3.999999761581421,-0.0,0.0
273,-3.999999761581421,-3.999999761581421,-0.0,0.0
274,-4.0,-4.0,-0.0,0.0
275,-4.0,-4.0,-0.0,0.0
276,-4.0,-4.0,-0.0,0.0
277,-4.0,-4.0,-0.0,0.0
278,-4.0,-4.0,-0.0,0.0
279,-4.0,-4.0,-0.0,0.0
280,-4.0,-4.0,-0.0,0.0
281,-4.0,-4.0,-0.0,0.0
282,-4.0,-4.0,-0.0,0.0
283,-4.0,-4.0,-0.0,0.0
284,-4.000000476837158,-4.000000476837158,-0.0,0.0
285,-4.0,-4.0,-0.0,0.0
286,-4.0,-4.0,-0.0,0.0
287,-3.999999761581421,-3.999999761581421,-0.0,0.0
288,-3.999999761581421,-3.999999761581421,-0.0,0.0
289,-4.0,-4.0,-0.0,0.0
290,-3.999999523162842,-3.999999523162842,-0.0,0.0
291,-4.000000476837158,-4.000000476837158,-0.0,0.0
292,-4.000000476837158,-4.000000476837158,-0.0,0.0
293,-3.999999761581421,-3.999999761581421,-0.0,0.0
294,-3.999999761581421,-3.999999761581421,-0.0,0.0
295,-4.000000476837158,-4.000000476837158,-0.0,0.0
296,-4.0,-4.0,-0.0,0.0
297,-4.0,-4.0,-0.0,0.0
298,-4.0,-4.0,-0.0,0.0
299,-3.999999761581421,-3.999999761581421,-0.0,0.0
300,-4.000000476837158,-4.000000476837158,-0.0,0.0
301,-3.999999761581421,-3.999999761581421,-0.0,0.0
302,-3.999999761581421,-3.999999761581421,-0.0,0.0
303,-3.999999761581421,-3.999999761581421,-0.0,0.0
304,-4.0,-4.0,-0.0,0.0
305,-4.0,-4.0,-0.0,0.0
306,-3.999999523162842,-3.999999523162842,-0.0,0.0
307,-4.0,-4.0,-0.0,0.0
308,-3.999999761581421,-3.999999761581421,-0.0,0.0
309,-4.0,-4.0,-0.0,0.0
310,-4.0,-4.0,-0.0,0.0
311,-4.000000476837158,-4.000000476837158,-0.0,0.0
312,-4.0,-4.0,-0.0,0.0
313,-3.999999523162842,-3.999999523162842,-0.0,0.0
314,-4.0,-4.0,-0.0,0.0
315,-4.0,-4.0,-0.0,0.0
316,-4.0,-4.0,-0.0,0.0
317,-3.999999761581421,-3.999999761581421,-0.0,0.0
318,-4.0,-4.0,-0.0,0.0
319,-3.999999761581421,-3.999999761581421,-0.0,0.0
320,-3.999999761581421,-3.999999761581421,-0.0,0.0
321,-4.0,-4.0,-0.0,0.0
322,-3.999999761581421,-3.999999761581421,-0.0,0.0
323,-4.000000476837158,-4.000000476837158,-0.0,0.0
324,-3.999999523162842,-3.999999523162842,-0.0,0.0
325,-4.000000476837158,-4.000000476837158,-0.0,0.0
326,-4.0,-4.0,-0.0,0.0
327,-3.999999761581421,-3.999999761581421,-0.0,0.0
328,-4.000000476837158,-4.000000476837158,-0.0,0.0
329,-3.999999523162842,-3.999999523162842,-0.0,0.0
330,-4.0,-4.0,-0.0,0.0
331,-4.0,-4.0,-0.0,0.0
332,-4.0,-4.0,-0.0,0.0
333,-3.999999761581421,-3.999999761581421,-0.0,0.0
334,-4.000000476837158,-4.000000476837158,-0.0,0.0
335,-4.000000476837158,-4.000000476837158,-0.0,0.0
336,-4.0,-4.0,-0.0,0.0
337,-3.999999523162842,-3.999999523162842,-0.0,0.0
338,-4.0,-4.0,-0.0,0.0
339,-4.000000476837158,-4.000000476837158,-0.0,0.0
340,-4.000000476837158,-4.000000476837158,-0.0,0.0
341,-4.0,-4.0,-0.0,0.0
342,-4.0,-4.0,-0.0,0.0
343,-4.0,-4.0,-0.0,0.0
344,-4.0,-4.0,-0.0,0.0
345,-4.0,-4.0,-0.0,0.0
346,-4.0,-4.0,-0.0,0.0
347,-3.999999523162842,-3.999999523162842,-0.0,0.0
348,-4.0,-4.0,-0.0,0.0
349,-4.0,-4.0,-0.0,0.0
350,-4.0,-4.0,-0.0,0.0
351,-3.999999761581421,-3.999999761581421,-0.0,0.0
352,-4.0,-4.0,-0.0,0.0
353,-3.999999761581421,-3.999999761581421,-0.0,0.0
354,-4.0,-4.0,-0.0,0.0
355,-4.0,-4.0,-0.0,0.0
356,-3.999999523162842,-3.999999523162842,-0.0,0.0
357,-4.000000476837158,-4.000000476837158,-0.0,0.0
358,-4.0,-4.0,-0.0,0.0
359,-4.0,-4.0,-0.0,0.0
360,-3.999999761581421,-3.999999761581421,-0.0,0.0
361,-4.0,-4.0,-0.0,0.0
362,-4.0,-4.0,-0.0,0.0
363,-3.999999761581421,-3.999999761581421,-0.0,0.0
364,-3.999999761581421,-3.999999761581421,-0.0,0.0
365,-4.000000476837158,-4.000000476837158,-0.0,0.0
366,-4.0,-4.0,-0.0,0.0
367,-4.000000476837158,-4.000000476837158,-0.0,0.0
368,-3.999999761581421,-3.999999761581421,-0.0,0.0
369,-4.0,-4.0,-0.0,0.0
370,-4.000000476837158,-4.000000476837158,-0.0,0.0
371,-4.0,-4.0,-0.0,0.0
372,-3.999999761581421,-3.999999761581421,-0.0,0.0
373,-4.0,-4.0,-0.0,0.0
374,-4.0,-4.0,-0.0,0.0
375,-4.0,-4.0,-0.0,0.0
376,-4.0,-4.0,-0.0,0.0
377,-3.999999761581421,-3.999999761581421,-0.0,0.0
378,-4.0,-4.0,-0.0,0.0
379,-4.000000476837158,-4.000000476837158,-0.0,0.0
380,-3.999999523162842,-3.999999523162842,-0.0,0.0
381,-4.0,-4.0,-0.0,0.0
382,-3.999999761581421,-3.999999761581421,-0.0,0.0
383,-4.0,-4.0,-0.0,0.0
384,-3.999999523162842,-3.999999523162842,-0.0,0.0
385,-4.0,-4.0,-0.0,0.0
386,-4.0,-4.0,-0.0,0.0
387,-4.0,-4.0,-0.0,0.0
388,-3.999999761581421,-3.999999761581421,-0.0,0.0
389,-4.000000476837158,-4.000000476837158,-0.0,0.0
390,-3.999999761581421,-3.999999761581421,-0.0,0.0
391,-4.0,-4.0,-0.0,0.0
392,-3.999999523162842,-3.999999523162842,-0.0,0.0
393,-3.999999761581421,-3.999999761581421,-0.0,0.0
394,-4.0,-4.0,-0.0,0.0
395,-4.0,-4.0,-0.0,0.0
396,-4.0,-4.0,-0.0,0.0
397,-4.0,-4.0,-0.0,0.0
398,-4.000000476837158,-4.000000476837158,-0.0,0.0
399,-4.0,-4.0,-0.0,0.0
400,-4.0,-4.0,-0.0,0.0
401,-4.0,-4.0,-0.0,0.0
402,-4.0,-4.0,-0.0,0.0
403,-4.0,-4.0,-0.0,0.0
404,-4.0,-4.0,-0.0,0.0
405,-4.000000476837158,-4.000000476837158,-0.0,0.0
406,-4.0,-4.0,-0.0,0.0
407,-3.999999761581421,-3.999999761581421,-0.0,0.0
408,-4.0,-4.0,-0.0,0.0
409,-4.0,-4.0,-0.0,0.0
410,-4.0,-4.0,-0.0,0.0
411,-4.000000476837158,-4.000000476837158,-0.0,0.0
412,-4.0,-4.0,-0.0,0.0
413,-4.000000476837158,-4.000000476837158,-0.0,0.0
414,-4.0,-4.0,-0.0,0.0
415,-3.999999761581421,-3.999999761581421,-0.0,0.0
416,-3.999999523162842,-3.999999523162842,-0.0,0.0
417,-4.0,-4.0,-0.0,0.0
418,-4.0,-4.0,-0.0,0.0
419,-3.999999523162842,-3.999999523162842,-0.0,0.0
420,-4.0,-4.0,-0.0,0.0
421,-4.000000476837158,-4.000000476837158,-0.0,0.0
422,-4.0,-4.0,-0.0,0.0
423,-4.000000476837158,-4.000000476837158,-0.0,0.0
424,-3.999999523162842,-3.999999523162842,-0.0,0.0
425,-4.0,-4.0,-0.0,0.0
426,-4.0,-4.0,-0.0,0.0
427,-4.0,-4.0,-0.0,0.0
428,-3.999999523162842,-3.999999523162842,-0.0,0.0
429,-3.999999761581421,-3.999999761581421,-0.0,0.0
430,-3.999999761581421,-3.999999761581421,-0.0,0.0
431,-4.0,-4.0,-0.0,0.0
432,-4.000000476837158,-4.000000476837158,-0.0,0.0
433,-4.0,-4.0,-0.0,0.0
434,-4.0,-4.0,-0.0,0.0
435,-3.999999761581421,-3.999999761581421,-0.0,0.0
436,-3.999999523162842,-3.999999523162842,-0.0,0.0
437,-4.0,-4.0,-0.0,0.0
438,-4.0,-4.0,-0.0,0.0
439,-4.0,-4.0,-0.0,0.0
440,-4.0,-4.0,-0.0,0.0
441,-4.0,-4.0,-0.0,0.0
442,-4.0,-4.0,-0.0,0.0
443,-4.0,-4.0,-0.0,0.0
444,-3.999999761581421,-3.999999761581421,-0.0,0.0
445,-4.0,-4.0,-0.0,0.0
446,-4.0,-4.0,-0.0,0.0
447,-3.999999761581421,-3.999999761581421,-0.0,0.0
448,-4.0,-4.0,-0.0,0.0
449,-3.999999523162842,-3.999999523162842,-0.0,0.0
450,-4.0,-4.0,-0.0,0.0
451,-3.999999761581421,-3.999999761581421,-0.0,0.0
452,-3.999999761581421,-3.999999761581421,-0.0,0.0
453,-4.0,-4.0,-0.0,0.0
454,-3.999999523162842,-3.999999523162842,-0.0,0.0
455,-3.999999523162842,-3.999999523162842,-0.0,0.0
456,-3.999999761581421,-3.999999761581421,-0.0,0.0
457,-4.0,-4.0,-0.0,0.0
458,-4.000000476837158,-4.000000476837158,-0.0,0.0
459,-3.999999523162842,-3.999999523162842,-0.0,0.0
460,-4.0,-4.0,-0.0,0.0
461,-3.999999761581421,-3.999999761581421,-0.0,0.0
462,-4.000000476837158,-4.000000476837158,-0.0,0.0
463,-4.0,-4.0,-0.0,0.0
464,-4.0,-4.0,-0.0,0.0
465,-4.0,-4.0,-0.0,0.0
466,-3.999999761581421,-3.999999761581421,-0.0,0.0
467,-3.999999761581421,-3.999999761581421,-0.0,0.0
468,-3.999999523162842,-3.999999523162842,-0.0,0.0
469,-3.999999761581421,-3.999999761581421,-0.0,0.0
470,-4.0,-4.0,-0.0,0.0
471,-3.999999523162842,-3.999999523162842,-0.0,0.0
472,-4.0,-4.0,-0.0,0.0
473,-3.999999523162842,-3.999999523162842,-0.0,0.0
474,-3.999999761581421,-3.999999761581421,-0.0,0.0
475,-3.999999761581421,-3.999999761581421,-0.0,0.0
476,-4.0,-4.0,-0.0,0.0
477,-4.0,-4.0,-0.0,0.0
478,-3.999999523162842,-3.999999523162842,-0.0,0.0
479,-4.0,-4.0,-0.0,0.0
480,-4.0,-4.0,-0.0,0.0
481,-4.0,-4.0,-0.0,0.0
482,-4.0,-4.0,-0.0,0.0
483,-4.0,-4.0,-0.0,0.0
484,-3.999999761581421,-3.999999761581421,-0.0,0.0
485,-4.000000476837158,-4.000000476837158,-0.0,0.0
486,-4.000000476837158,-4.000000476837158,-0.0,0.0
487,-4.0,-4.0,-0.0,0.0
488,-3.999999761581421,-3.999999761581421,-0.0,0.0
489,-4.000000476837158,-4.000000476837158,-0.0,0.0
490,-3.999999523162842,-3.999999523162842,-0.0,0.0
491,-4.0,-4.0,-0.0,0.0
492,-3.999999523162842,-3.999999523162842,-0.0,0.0
493,-4.000000476837158,-4.000000476837158,-0.0,0.0
494,-3.999999523162842,-3.999999523162842,-0.0,0.0
495,-3.9999992847442627,-3.9999992847442627,-0.0,0.0
496,-3.999999523162842,-3.999999523162842,-0.0,0.0
497,-3.999999523162842,-3.999999523162842,-0.0,0.0
